name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2014,450000,145000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
Hyundai i20 Sportz,2017,550000,70000,Petrol,Individual,Manual,First Owner,18.6,1197,81,5
Honda City V MT,2016,750000,60000,Petrol,Dealer,Manual,First Owner,17.4,1497,117,5
Toyota Innova Crysta,2018,1450000,80000,Diesel,Dealer,Manual,First Owner,15.6,2393,148,7
Tata Tiago Revotron,2019,480000,35000,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
Ford EcoSport 1.5 Diesel,2017,650000,72000,Diesel,Dealer,Manual,First Owner,21.7,1498,98,5
Hyundai Creta 1.6,2019,1050000,45000,Diesel,Dealer,Automatic,First Owner,20.5,1582,126,5
Maruti Alto 800,2016,260000,55000,Petrol,Individual,Manual,Second Owner,24.7,796,47,5
Renault Kwid RXT,2018,330000,40000,Petrol,Individual,Manual,First Owner,22.7,999,67,5
Mahindra Scorpio S11,2019,1250000,60000,Diesel,Dealer,Manual,First Owner,15.4,2179,140,7


Maruti Swift Dzire VDI,2014,450000,145000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5
Hyundai i20 Sportz,2017,550000,96848,Petrol,Individual,Manual,First Owner,18.6,1197,81,5
Honda City V MT,2016,750000,122374,Petrol,Dealer,Manual,First Owner,17.4,1497,117,5
Toyota Innova Crysta,2018,1450000,89502,Diesel,Dealer,Manual,First Owner,15.6,2393,148,7
Tata Tiago Revotron,2019,480000,124671,Petrol,Individual,Manual,First Owner,23.84,1199,84,5
Ford EcoSport 1.5 Diesel,2017,650000,111757,Diesel,Dealer,Manual,First Owner,21.7,1498,98,5
Hyundai Creta 1.6,2019,1050000,93233,Diesel,Dealer,Automatic,First Owner,20.5,1582,126,5
Maruti Alto 800,2016,260000,100510,Petrol,Individual,Manual,Second Owner,24.7,796,47,5
Renault Kwid RXT,2018,330000,98951,Petrol,Individual,Manual,First Owner,22.7,999,67,5
Mahindra Scorpio S11,2019,1250000,116699,Diesel,Dealer,Manual,First Owner,15.4,2179,140,7
Maruti Baleno Delta,2020,490000,78692,Petrol,Individual,Manual,First Owner,21.0,1197,82,5
Hyundai Verna SX,2018,470000,107880,Petrol,Dealer,Manual,First Owner,17.7,1591,123,5
Tata Nexon XZ,2020,510000,86839,Diesel,Dealer,Manual,First Owner,21.5,1497,108,5
Kia Seltos HTK,2021,780000,87704,Petrol,Dealer,Manual,First Owner,16.8,1497,113,5
Toyota Etios Liva,2015,420000,129270,Diesel,Individual,Manual,Second Owner,23.6,1364,67,5
